region,players,share
Ashanti Region,42,0.2048780487804878
Brong Ahafo Region,28,0.13658536585365855
Burkina Faso,1,0.004878048780487805
Central Region,12,0.05853658536585366
Eastern Region,4,0.01951219512195122
Greater Accra Region,50,0.24390243902439024
Ivory Coast,51,0.24878048780487805
Nigeria,1,0.004878048780487805
Northern Region,6,0.02926829268292683
Upper East Region,7,0.03414634146341464
